STT CÂU LỆNH	NỘI DUNG	KẾT QUẢ TRẢ VỀ
0	Xin chào bạn	Nội dung của Chatbot tạo content GEMINI
1	hãy cho tôi biết bạn hiểu dự án này đến đâu	Gemini trả lời 1 lần nữa thông tin của dự án để từ đó không bị nhầm lẫn
1.1	Tôi có tiêu đề này :	Chatbot trả về kết quả nội dung...
1.2	trước khi bắt đầu viết tôi muốn bạn hãy dùng những nội dung chính trong bài viết sau để viết lại nội dung mới hay hơn, tạo sự cấp bách và thu hút khán giả có vấn đề đang mắc phải: "đưa nội dung đối thủ vào"	Nhập vào nội dung cho Chatbot
1.3	tôi chưa yêu cầu bạn viết, hãy làm lần lượt theo đúng yêu cầu của tôi, tôi muốn bạn đọc lại 1 lần nữa bài mẫu tôi vừa gửi và nắm trọn các ý chính	
1.4	Cho tôi biết trước khi lập outline 9 phần thì nội dung trên bạn sẽ áp dụng văn phong và kỹ thuật viết dạng mấy? khung trắng 9 phần dạng mấy? và mở đầu dạng nào?	
1.5	trong bài viết mẫu tôi gửi trên có nhắc đến tên bác sĩ hay tên nhân vật nào khác không	
Lưu ý	Nếu có đặt lệnh lấy tên bác sĩ liệt kê ở trên theo đúng kênh bác sĩ mình làm	
1.6	ok, hãy lập outline 9 phần dựa trên tất cả những thông tin và kiến thức bạn có về nội dung trên và trong dự án này	
1.7	Thêm cho tôi yếu tố mùa đông vào bài viết trên	
1.8	dựa vào Dàn Ý Kịch Bản Chi Tiết (Outline 9 Phần), gợi ý cho tôi số lượng từ mỗi phần tương ứng để tổng số lượng từ tiếng Hàn đạt 8000 từ	
1.9	Viết phần 1 bám sát tài liệu bài viết mẫu bên trên. Viết đủ 230 từ có mở đầu tương tự bài viết mẫu bên trên. Nội dung được viết bằng tiếng Hàn, xưng hô "tôi" (저/제) và gọi khán giả là "bạn/các bạn" (여러분), phù hợp với văn hóa Hàn Quốc và các quy định của YouTube. Tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
1.10	Viết phần 2 bám sát tài liệu bài viết mẫu bên trên, viết  đủ  từ. Không viết trên canvas. Tiếp nối phần 1, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn. Viết bằng tiếng Hàn quốc, văn phong và tôn giáo sử dụng nhiều ở Hàn quốc. Tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
1.11	Viết phần 3 bám sát tài liệu bài viết mẫu bên trên, viết  đủ  từ. Không viết trên canvas. Tiếp nối phần 2, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn. Viết bằng tiếng Hàn quốc, văn phong và tôn giáo sử dụng nhiều ở Hàn quốc. Tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
1.12	Viết phần 4 bám sát tài liệu bài viết mẫu bên trên, viết đủ  từ. Không viết trên canvas. Tiếp nối phần 3, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn. Viết bằng tiếng Hàn quốc, văn phong và tôn giáo sử dụng nhiều ở Hàn quốc. Tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
1.1	Viết phần 5 bám sát tài liệu bài viết mẫu bên trên, viết đủ  từ. Không viết trên canvas. Tiếp nối phần 4, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn. Viết bằng tiếng Hàn quốc, văn phong và tôn giáo sử dụng nhiều ở Hàn quốc. Tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
1.2	Viết phần 6 bám sát tài liệu bài viết mẫu bên trên, viết đủ  từ. Không viết trên canvas. Tiếp nối phần 5, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn. Viết bằng tiếng Hàn quốc, văn phong và tôn giáo sử dụng nhiều ở Hàn quốc. Tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
1.3	Viết phần 7 bám sát tài liệu bài viết mẫu bên trên, viết đủ  từ. Không viết trên canvas. Tiếp nối phần 6, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn. Viết bằng tiếng Hàn quốc, văn phong và tôn giáo sử dụng nhiều ở Hàn quốc. Tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
1.4	Viết phần 8 bám sát tài liệu bài viết mẫu bên trên, viết đủ  từ. Không viết trên canvas. Tiếp nối phần 7, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn. Viết bằng tiếng Hàn quốc, văn phong và tôn giáo sử dụng nhiều ở Hàn quốc. Tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
1.5	Viết phần 9 Kết thúc Part 9 thật trọn vẹn theo đúng outline (đóng vòng cung đầy đủ, đưa ra lời khuyên cuối cùng để câu chuyện khép lại xúc động) bám sát tài liệu bài viết mẫu bên trên đủ 500 từ không bao gồm dấu cách. Không viết trên canvas. Tiếp nối phần 8, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn. Tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
1.6	Kiểm tra lại xem toàn bộ nội dung của bài viết trên tính đồng nhất và liên kết mạch hay không? Có nội dung nào bất hợp lý phi thực tế không? Kiểm tra lại xem đã đúng ngữ pháp Hàn cho người nghe chưa? Nếu có đoạn nào bất hợp lí mà nội dung có sai sự thật hay đề xuất.	
