STT CÂU LỆNH	NỘI DUNG	KẾT QUẢ TRẢ VỀ
0	xin chào bạn	Nội dung của Chatbot tạo content GEMINI
1	hãy cho tôi biết bạn hiểu dự án này đến đâu	Nội dung của Chatbot tạo content GEMINI
2	gợi ý tiêu đề về các loại thực phẩm cho não hoặc top thực phẩm về não với bất kì các tuyến nội dung nào cho người Hàn Quốc	Chatbot trả về kết quả nội dung...
3	Tôi có tiêu đề này :	Nhập vào nội dung cho Chatbot
4	Cho tôi biết trước khi lập outline 9 phần thì nội dung trên bạn sẽ áp dụng văn phong và kỹ thuật viết dạng mấy? khung trắng 9 phần dạng mấy? và mở đầu dạng nào?	Chat bot trả lời
5	Thêm cho tôi yếu tố mùa đông vào bài viết trên	Chatbot xác nhận vào review lại
6	dựa vào Dàn Ý Kịch Bản Chi Tiết (Outline 9 Phần), gợi ý cho tôi số lượng từ mỗi phần tương ứng để tổng số lượng từ tiếng Hàn đạt 8000 từ	"Chatbot đưa ra dàn ý gồm số lượng từ như user mong muốn.
Dựa vào số lượng từ mong muốn, chatbot sẽ tự tính toán chia ra các phần, đảm bảo mỗi phần xuất ra kết quả < 1000 từ để không bị lỗi OutPut"
7	Viết phần 1 bám sát tài liệu "content mẫu.txt" đủ 150 từ có mở đầu tương tự tài liệu "content mẫu.txt" và "mở đầu.txt". Nội dung được viết bằng tiếng Hàn, xưng hô "tôi" (저/제) và gọi khán giả là "bạn/các bạn" (여러분), phù hợp với văn hóa Hàn Quốc và các quy định của YouTube. tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
8	Viết phần 2 bám sát tài liệu "content mẫu.txt" đủ 200 từ. Không viết trên canvas. Tiếp nối phần 1, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn. Viết bằng tiếng Hàn quốc, văn phong và tôn giáo sử dụng nhiều ở Hàn quốc, tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
9	Viết phần 3 bám sát tài liệu "content mẫu.txt" đủ 200 từ không bao gồm dấu cách. Không viết trên canvas. Tiếp nối phần 2, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn, tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
10	Viết phần 4 bám sát tài liệu "content mẫu.txt" đủ 200 từ không bao gồm dấu cách. Không viết trên canvas. Tiếp nối phần 3, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn, tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
11	Viết phần 5 bám sát tài liệu "content mẫu.txt" đủ 200 từ không bao gồm dấu cách. Không viết trên canvas. Tiếp nối phần 4, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn, tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
12	Viết phần 6 bám sát tài liệu "content mẫu.txt" đủ 200 từ không bao gồm dấu cách. Không viết trên canvas. Tiếp nối phần 5, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn, tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
13	Viết phần 7 bám sát tài liệu "content mẫu.txt" đủ 200 từ không bao gồm dấu cách. Không viết trên canvas. Tiếp nối phần 6, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn, tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
14	Viết phần 8 bám sát tài liệu "content mẫu.txt" đủ 200 từ không bao gồm dấu cách. Không viết trên canvas. Tiếp nối phần 7, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn, tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
15	Viết phần 9 Kết thúc Part 9 thật trọn vẹn theo đúng outline (đóng vòng cung đầy đủ, đưa ra lời khuyên cuối cùng để câu chuyện khép lại xúc động) bám sát tài liệu "content mẫu.txt" đủ 500 từ không bao gồm dấu cách. Không viết trên canvas. Tiếp nối phần 8, nhớ gắn kết bài viết thành 1 mạch xuyên suốt logic với nhau, tuyến thời gian sao cho phù hợp. CHÚ Ý Văn phong kỹ thuật viết trả lại kết quả để làm nội dung Youtube chứ không phải biên tập như đạo diễn, tất cả số đều viết thành chữ cái, loại bỏ toàn bộ kí tự đặc biệt bao gồm loại bỏ "*" "**" kí tự đóng mở ngoặc đơn hoặc kép,.... đặt dấu phẩy ngắt nghỉ câu, cuối câu có dấu chấm	
16	Kiểm tra lại xem toàn bộ nội dung của bài viết trên tính đồng nhất và liên kết mạch hay không? Có nội dung nào bất hợp lý phi thực tế không? Kiểm tra lại xem đã đúng ngữ pháp Hàn cho người nghe chưa? Nếu có đoạn nào bất hợp lí mà nội dung có sai sự thật hay đề xuất.	
